reference_sequence_name	code	database	original_taxonomic_assignation
Bacteria_Oxyphotobacteria_Nostocales_Chroococcidiopsaceae_ChroococcidiopsisSAG2023_KF037660	KF037660	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Chroococcidiopsaceae;Chroococcidiopsis
Bacteria_Oxyphotobacteria_Nostocales_Chroococcidiopsaceae_CrinaliumSAG2289_KC463366	KC463366	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Chroococcidiopsaceae;Crinalium
Bacteria_Oxyphotobacteria_Nostocales_Chroococcidiopsaceae_GloeocapsaPCC7428_FJ589716	FJ589716	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Chroococcidiopsaceae;Gloeocapsa
Bacteria_Oxyphotobacteria_Nostocales_Chroococcidiopsaceae_GloeocapsaPCC7428_FR798928	FR798928	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Chroococcidiopsaceae;Gloeocapsa
Bacteria_Oxyphotobacteria_Nostocales_Chroococcidiopsaceae_MyxosarcinaSAG3084_FJ230798	FJ230798	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Chroococcidiopsaceae;Myxosarcina
Bacteria_Oxyphotobacteria_Nostocales_Chroococcidiopsaceae_MyxosarcinaSAG3084_FJ230810	FJ230810	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Chroococcidiopsaceae;Myxosarcina
Bacteria_Oxyphotobacteria_Nostocales_Chroococcidiopsaceae_MyxosarcinaSAG3084_KM019956	KM019956	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Chroococcidiopsaceae;Myxosarcina
Bacteria_Oxyphotobacteria_Nostocales_Coleofasciculaceae_ColeofasciculusPCC7420_JN459824	JN459824	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Coleofasciculaceae;Coleofasciculus
Bacteria_Oxyphotobacteria_Nostocales_Coleofasciculaceae_MicrocoleusCENA344_JQ612151	JQ612151	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Coleofasciculaceae;Microcoleus
Bacteria_Oxyphotobacteria_Nostocales_Coleofasciculaceae_MicrocoleusCENA344_KT731160	KT731160	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Coleofasciculaceae;Microcoleus
Bacteria_Oxyphotobacteria_Nostocales_Coleofasciculaceae_MicrocoleusEsYyy1400_KC329582	KC329582	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Coleofasciculaceae;Microcoleus
Bacteria_Oxyphotobacteria_Nostocales_Coleofasciculaceae_MicrocoleusEsYyy1400_KC463185	KC463185	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Coleofasciculaceae;Microcoleus
Bacteria_Oxyphotobacteria_Nostocales_Coleofasciculaceae_MicrocoleusEsYyy1400_KM108654	KM108654	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Coleofasciculaceae;Microcoleus
Bacteria_Oxyphotobacteria_Nostocales_Coleofasciculaceae_MicrocoleusPCC7113_EF654070	EF654070	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Coleofasciculaceae;Microcoleus
Bacteria_Oxyphotobacteria_Nostocales_Coleofasciculaceae_MicrocoleusSAG14491a_JQ769714	JQ769714	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Coleofasciculaceae;Microcoleus
Bacteria_Oxyphotobacteria_Nostocales_Coleofasciculaceae_MicrocoleusSAG14491a_JX088100	JX088100	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Coleofasciculaceae;Microcoleus
Bacteria_Oxyphotobacteria_Nostocales_Coleofasciculaceae_MicrocoleusSAG14491a_KC463679	KC463679	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Coleofasciculaceae;Microcoleus
Bacteria_Oxyphotobacteria_Nostocales_Coleofasciculaceae_Moorea3L_DQ889932	DQ889932	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Coleofasciculaceae;Moorea
Bacteria_Oxyphotobacteria_Nostocales_Coleofasciculaceae_Moorea3L_EU445293	EU445293	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Coleofasciculaceae;Moorea
Bacteria_Oxyphotobacteria_Nostocales_Coleofasciculaceae_SymplocaPCC8002_AB039021	AB039021	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Coleofasciculaceae;Symploca
Bacteria_Oxyphotobacteria_Nostocales_Coleofasciculaceae_SymplocaVP642a_AY032934	AY032934	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Coleofasciculaceae;Symploca
Bacteria_Oxyphotobacteria_Nostocales_Coleofasciculaceae_SymplocaVP642a_JX481736	JX481736	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Coleofasciculaceae;Symploca
Bacteria_Oxyphotobacteria_Nostocales_Coleofasciculaceae_SymplocastrumCPERKK1_KC463367	KC463367	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Coleofasciculaceae;Symplocastrum
Bacteria_Oxyphotobacteria_Nostocales_Coleofasciculaceae_WilmottiaAntPh58_DQ493872	DQ493872	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Coleofasciculaceae;Wilmottia
Bacteria_Oxyphotobacteria_Nostocales_Coleofasciculaceae_WilmottiaAntPh58_FR798943	FR798943	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Coleofasciculaceae;Wilmottia
Bacteria_Oxyphotobacteria_Nostocales_Coleofasciculaceae_WilmottiaAntPh58_KF037590	KF037590	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Coleofasciculaceae;Wilmottia
Bacteria_Oxyphotobacteria_Nostocales_Cyanobacteriaceae_AnnamiaHOs24_HM445952	HM445952	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Cyanobacteriaceae;Annamia
Bacteria_Oxyphotobacteria_Nostocales_Cyanobacteriaceae_AnnamiaHOs24_JF747944	JF747944	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Cyanobacteriaceae;Annamia
Bacteria_Oxyphotobacteria_Nostocales_Cyanobacteriaceae_AnnamiaHOs24_JN397959	JN397959	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Cyanobacteriaceae;Annamia
Bacteria_Oxyphotobacteria_Nostocales_Cyanobacteriaceae_AnnamiaHOs24_JX504484	JX504484	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Cyanobacteriaceae;Annamia
Bacteria_Oxyphotobacteria_Nostocales_Cyanobacteriaceae_AnnamiaHOs24_KC695862	KC695862	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Cyanobacteriaceae;Annamia
Bacteria_Oxyphotobacteria_Nostocales_Cyanobacteriaceae_AnnamiaHOs24_KT880425	KT880425	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Cyanobacteriaceae;Annamia
Bacteria_Oxyphotobacteria_Nostocales_Cyanobacteriaceae_ChroococcusHUW799_KM019999	KM019999	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Cyanobacteriaceae;Chroococcus
Bacteria_Oxyphotobacteria_Nostocales_Cyanobacteriaceae_CyanobacteriumCLg1_FJ358912	FJ358912	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Cyanobacteriaceae;Cyanobacterium
Bacteria_Oxyphotobacteria_Nostocales_Cyanobacteriaceae_CyanobacteriumCLg1_HM799026	HM799026	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Cyanobacteriaceae;Cyanobacterium
Bacteria_Oxyphotobacteria_Nostocales_Cyanobacteriaceae_CyanobacteriumCLg1_KC668926	KC668926	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Cyanobacteriaceae;Cyanobacterium
Bacteria_Oxyphotobacteria_Nostocales_Cyanobacteriaceae_CyanobacteriumCLg1_KM020010	KM020010	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Cyanobacteriaceae;Cyanobacterium
Bacteria_Oxyphotobacteria_Nostocales_Cyanobacteriaceae_CyanobacteriumPCC7202_KF912998	KF912998	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Cyanobacteriaceae;Cyanobacterium
Bacteria_Oxyphotobacteria_Nostocales_Cyanobacteriaceae_CyanobacteriumPCC10605_CP003947	CP003947	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Cyanobacteriaceae;Cyanobacterium
Bacteria_Oxyphotobacteria_Nostocales_Cyanobacteriaceae_GeitlerinemaLD9_GU935348	GU935348	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Cyanobacteriaceae;Geitlerinema
Bacteria_Oxyphotobacteria_Nostocales_Cyanobacteriaceae_GeminocystisPCC6308_ALVO01000007	ALVO01000007	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Cyanobacteriaceae;Geminocystis
Bacteria_Oxyphotobacteria_Nostocales_Cyanobacteriaceae_GeminocystisPCC6308_AP014815	AP014815	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Cyanobacteriaceae;Geminocystis
Bacteria_Oxyphotobacteria_Nostocales_Cyanobacteriaceae_GeminocystisPCC6308_KF246492	KF246492	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Cyanobacteriaceae;Geminocystis
Bacteria_Oxyphotobacteria_Nostocales_Cyanobacteriaceae_MerismopediaAICB1015_JX504430	JX504430	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Cyanobacteriaceae;Merismopedia
Bacteria_Oxyphotobacteria_Nostocales_Cyanobacteriaceae_MerismopediaAICB1015_JX504461	JX504461	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Cyanobacteriaceae;Merismopedia
Bacteria_Oxyphotobacteria_Nostocales_Cyanobacteriaceae_MerismopediaAICB1015_KJ746510	KJ746510	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Cyanobacteriaceae;Merismopedia
Bacteria_Oxyphotobacteria_Nostocales_Cyanobacteriaceae_SymphothecePCC7002_AB491711	AB491711	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Cyanobacteriaceae;Symphothece
Bacteria_Oxyphotobacteria_Nostocales_Cyanobacteriaceae_SymphothecePCC7002_D88289	D88289	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Cyanobacteriaceae;Symphothece
Bacteria_Oxyphotobacteria_Nostocales_Cyanobacteriaceae_SymphothecePCC7002_KC818268	KC818268	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Cyanobacteriaceae;Symphothece
Bacteria_Oxyphotobacteria_Nostocales_Geitlerinemaceae_GeitlerinemaPCC7105_AF445719	AF445719	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Geitlerinemaceae;Geitlerinema
Bacteria_Oxyphotobacteria_Nostocales_Geitlerinemaceae_GeitlerinemaPCC7105_ANFQ01000016	ANFQ01000016	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Geitlerinemaceae;Geitlerinema
Bacteria_Oxyphotobacteria_Nostocales_Geitlerinemaceae_GeitlerinemaPCC7105_HQ425194	HQ425194	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Geitlerinemaceae;Geitlerinema
Bacteria_Oxyphotobacteria_Nostocales_Geitlerinemaceae_GeitlerinemaPCC7105_JN441105	JN441105	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Geitlerinemaceae;Geitlerinema
Bacteria_Oxyphotobacteria_Nostocales_Geitlerinemaceae_GeitlerinemaPCC7105_JQ738961	JQ738961	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Geitlerinemaceae;Geitlerinema
Bacteria_Oxyphotobacteria_Nostocales_Gloeocapsaceae_Gleocapsa_AB039000	AB039000	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Gloeocapsaceae;Gleocapsa
Bacteria_Oxyphotobacteria_Nostocales_Gloeocapsaceae_Gleocapsa_AM710385	AM710385	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Gloeocapsaceae;Gleocapsa
Bacteria_Oxyphotobacteria_Nostocales_Gloeocapsaceae_Gleocapsa_AY493599	AY493599	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Gloeocapsaceae;Gleocapsa
Bacteria_Oxyphotobacteria_Nostocales_Gloeocapsaceae_Gleocapsa_GQ375048	GQ375048	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Gloeocapsaceae;Gleocapsa
Bacteria_Oxyphotobacteria_Nostocales_Gloeocapsaceae_Gleocapsa_GQ375049	GQ375049	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Gloeocapsaceae;Gleocapsa
Bacteria_Oxyphotobacteria_Nostocales_Gloeocapsaceae_Gleocapsa_KJ746508	KJ746508	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Gloeocapsaceae;Gleocapsa
Bacteria_Oxyphotobacteria_Nostocales_Microcystaceae_AtelocyanobacteriumUCYNA_CP001842	CP001842	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Microcystaceae;Atelocyanobacterium
Bacteria_Oxyphotobacteria_Nostocales_Microcystaceae_ChalicogloeaCCALA975_FR798926	FR798926	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Microcystaceae;Chalicogloea
Bacteria_Oxyphotobacteria_Nostocales_Microcystaceae_CyanothecePCC7424_AJ000715	AJ000715	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Microcystaceae;Cyanothece
Bacteria_Oxyphotobacteria_Nostocales_Microcystaceae_CyanothecePCC7424_CP002198	CP002198	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Microcystaceae;Cyanothece
Bacteria_Oxyphotobacteria_Nostocales_Microcystaceae_CyanothecePCC8801_AB116658	AB116658	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Microcystaceae;Cyanothece
Bacteria_Oxyphotobacteria_Nostocales_Microcystaceae_CyanothecePCC8801_AP012549	AP012549	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Microcystaceae;Cyanothece
Bacteria_Oxyphotobacteria_Nostocales_Microcystaceae_CyanothecePCC8801_CP001287	CP001287	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Microcystaceae;Cyanothece
Bacteria_Oxyphotobacteria_Nostocales_Microcystaceae_GloeothecePCC6501_HE975018	HE975018	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Microcystaceae;Gloeothece
Bacteria_Oxyphotobacteria_Nostocales_Microcystaceae_Merismopedia0BB39S01_HF678499	HF678499	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Microcystaceae;Merismopedia
Bacteria_Oxyphotobacteria_Nostocales_Microcystaceae_MicrocystisPCC7914_KJ818177	KJ818177	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Microcystaceae;Microcystis
Bacteria_Oxyphotobacteria_Nostocales_Microcystaceae_MicrocystisPCC7914_KM019990	KM019990	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Microcystaceae;Chalicogloea
Bacteria_Oxyphotobacteria_Nostocales_Microcystaceae_MicrocystisPCC7914_KM982573	KM982573	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Microcystaceae;Microcystis
Bacteria_Oxyphotobacteria_Nostocales_Microcystaceae_MicrocystisPCC7914_KP890769	KP890769	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Microcystaceae;Microcystis
Bacteria_Oxyphotobacteria_Nostocales_Microcystaceae_MicrocystisPCC7914_KP890774	KP890774	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Microcystaceae;Microcystis
Bacteria_Oxyphotobacteria_Nostocales_Microcystaceae_PleurocapsaPCC7327_AY555778	AY555778	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Microcystaceae;Synechocystis
Bacteria_Oxyphotobacteria_Nostocales_Microcystaceae_PleurocapsaPCC7327_FR798930	FR798930	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Microcystaceae;Pleurocapsa
Bacteria_Oxyphotobacteria_Nostocales_Microcystaceae_Snowella0TU37S04_AJ781040	AJ781040	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Microcystaceae;Snowella
Bacteria_Oxyphotobacteria_Nostocales_Microcystaceae_Snowella0TU37S04_FJ612230	FJ612230	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Microcystaceae;Snowella
Bacteria_Oxyphotobacteria_Nostocales_Microcystaceae_SynechocystisBDHKU20401_JN825319	JN825319	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Microcystaceae;Synechocystis
Bacteria_Oxyphotobacteria_Nostocales_Microcystaceae_SynechocystisCCALA700_FM177503	FM177503	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Microcystaceae;Synechocystis
Bacteria_Oxyphotobacteria_Nostocales_Microcystaceae_SynechocystisPCC6803_CP007542	CP007542	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Microcystaceae;Synechocystis
Bacteria_Oxyphotobacteria_Nostocales_Microcystaceae_SynechocystisPCC6803_KP762346	KP762346	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Microcystaceae;Synechocystis
Bacteria_Oxyphotobacteria_Nostocales_Microcystaceae_UCYNC_AB067580	AB067580	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Microcystaceae;UCYN-C
Bacteria_Oxyphotobacteria_Nostocales_Microcystaceae_UCYNC_CP000806	CP000806	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Microcystaceae;UCYN-C
Bacteria_Oxyphotobacteria_Nostocales_Nostocaceae_AetokthonosAEL04_AB179514	AB179514	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Nostocaceae;Aetokthonos
Bacteria_Oxyphotobacteria_Nostocales_Nostocaceae_Anabaena4Vresova10JH_KT290356	KT290356	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Nostocaceae;Anabaena
Bacteria_Oxyphotobacteria_Nostocales_Nostocaceae_AnabaenaBECID22_KJ679571	KJ679571	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Nostocaceae;Anabaena
Bacteria_Oxyphotobacteria_Nostocales_Nostocaceae_AnabaenaHBU1_KT290376	KT290376	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Nostocaceae;Anabaena
Bacteria_Oxyphotobacteria_Nostocales_Nostocaceae_AnabaenaPCC7122_AJ293110	AJ293110	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Nostocaceae;Anabaena
Bacteria_Oxyphotobacteria_Nostocales_Nostocaceae_AnabaenaPCC7122_AJWF01000009	AJWF01000009	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Nostocaceae;Anabaena
Bacteria_Oxyphotobacteria_Nostocales_Nostocaceae_AnabaenaPCC7122_EF583856	EF583856	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Nostocaceae;Anabaena
Bacteria_Oxyphotobacteria_Nostocales_Nostocaceae_AnabaenaPCC7122_KC695852	KC695852	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Nostocaceae;Anabaena
Bacteria_Oxyphotobacteria_Nostocales_Nostocaceae_AnabaenaPCC7122_KT290324	KT290324	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Nostocaceae;Anabaena
Bacteria_Oxyphotobacteria_Nostocales_Nostocaceae_AnabaenaXPORK15F_KT290368	KT290368	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Nostocaceae;Anabaena
Bacteria_Oxyphotobacteria_Nostocales_Nostocaceae_AphanizomenonKA11_FM177483	FM177483	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Nostocaceae;Aphanizomenon
Bacteria_Oxyphotobacteria_Nostocales_Nostocaceae_AphanizomenonLMECYA163_KM245026	KM245026	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Nostocaceae;Aphanizomenon
Bacteria_Oxyphotobacteria_Nostocales_Nostocaceae_AphanizomenonNIES81_AJ293131	AJ293131	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Nostocaceae;Aphanizomenon
Bacteria_Oxyphotobacteria_Nostocales_Nostocaceae_AphanizomenonNIES81_AJ630438	AJ630438	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Nostocaceae;Aphanizomenon
Bacteria_Oxyphotobacteria_Nostocales_Nostocaceae_AphanizomenonNIES81_DQ023199	DQ023199	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Nostocaceae;Aphanizomenon
Bacteria_Oxyphotobacteria_Nostocales_Nostocaceae_AphanizomenonNIES81_FM177475	FM177475	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Nostocaceae;Aphanizomenon
Bacteria_Oxyphotobacteria_Nostocales_Nostocaceae_AphanizomenonUKL13PB_AY196085	AY196085	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Nostocaceae;Aphanizomenon
Bacteria_Oxyphotobacteria_Nostocales_Nostocaceae_AphanizomenonUKL13PB_JX006087	JX006087	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Nostocaceae;Aphanizomenon
Bacteria_Oxyphotobacteria_Nostocales_Nostocaceae_Calothrix3363_CP011382	CP011382	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Nostocaceae;Calothrix
Bacteria_Oxyphotobacteria_Nostocales_Nostocaceae_CalothrixPCC6303_AF132779	AF132779	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Nostocaceae;Calothrix
Bacteria_Oxyphotobacteria_Nostocales_Nostocaceae_CalothrixPCC6303_AJ133164	AJ133164	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Nostocaceae;Calothrix
Bacteria_Oxyphotobacteria_Nostocales_Nostocaceae_CalothrixPCC6303_ALVJ01000038	ALVJ01000038	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Nostocaceae;Calothrix
Bacteria_Oxyphotobacteria_Nostocales_Nostocaceae_CalothrixPCC6303_AM230682	AM230682	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Nostocaceae;Calothrix
Bacteria_Oxyphotobacteria_Nostocales_Nostocaceae_CalothrixPCC6303_CP003610	CP003610	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Nostocaceae;Calothrix
Bacteria_Oxyphotobacteria_Nostocales_Nostocaceae_CalothrixPCC6303_EU753646	EU753646	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Nostocaceae;Calothrix
Bacteria_Oxyphotobacteria_Nostocales_Nostocaceae_CalothrixPCC6303_FJ661008	FJ661008	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Nostocaceae;Calothrix
Bacteria_Oxyphotobacteria_Nostocales_Nostocaceae_CalothrixPCC6303_FR798919	FR798919	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Nostocaceae;Calothrix
Bacteria_Oxyphotobacteria_Nostocales_Nostocaceae_CalothrixPCC6303_HM224419	HM224419	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Nostocaceae;Calothrix
Bacteria_Oxyphotobacteria_Nostocales_Nostocaceae_CalothrixPCC6303_JN020217	JN020217	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Nostocaceae;Calothrix
Bacteria_Oxyphotobacteria_Nostocales_Nostocaceae_CalothrixPCC6303_KC437357	KC437357	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Nostocaceae;Calothrix
Bacteria_Oxyphotobacteria_Nostocales_Nostocaceae_CalothrixPCC6303_KF037637	KF037637	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Nostocaceae;Calothrix
Bacteria_Oxyphotobacteria_Nostocales_Nostocaceae_CalothrixPCC6303_KF037778	KF037778	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Nostocaceae;Calothrix
Bacteria_Oxyphotobacteria_Nostocales_Nostocaceae_CalothrixPCC6303_KF037784	KF037784	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Nostocaceae;Calothrix
Bacteria_Oxyphotobacteria_Nostocales_Nostocaceae_CalothrixUAM374_EU753652	EU753652	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Nostocaceae;Calothrix
Bacteria_Oxyphotobacteria_Nostocales_Nostocaceae_CalothrixUAM374_EU753654	EU753654	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Nostocaceae;Calothrix
Bacteria_Oxyphotobacteria_Nostocales_Nostocaceae_CalothrixUAM374_FR667360	FR667360	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Nostocaceae;Calothrix
Bacteria_Oxyphotobacteria_Nostocales_Nostocaceae_CalothrixUAM374_HM751842	HM751842	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Nostocaceae;Calothrix
Bacteria_Oxyphotobacteria_Nostocales_Nostocaceae_ChlorogloeopsisPCC7518_AJLN01000020	AJLN01000020	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Nostocaceae;Chlorogloeopsis
Bacteria_Oxyphotobacteria_Nostocales_Nostocaceae_ChlorogloeopsisPCC7518_DQ430997	DQ430997	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Nostocaceae;Chlorogloeopsis
Bacteria_Oxyphotobacteria_Nostocales_Nostocaceae_CylindrospermopsisCRJ1_AB115486	AB115486	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Nostocaceae;Cylindrospermopsis
Bacteria_Oxyphotobacteria_Nostocales_Nostocaceae_CylindrospermumNQAIF308_KM019950	KM019950	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Nostocaceae;Cylindrospermum
Bacteria_Oxyphotobacteria_Nostocales_Nostocaceae_CylindrospermumPCC7417_KM019946	KM019946	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Nostocaceae;Cylindrospermum
Bacteria_Oxyphotobacteria_Nostocales_Nostocaceae_CylindrospermumPMC23804_KJ396069	KJ396069	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Nostocaceae;Cylindrospermum
Bacteria_Oxyphotobacteria_Nostocales_Nostocaceae_DolichospermumNIES41_AF247587	AF247587	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Nostocaceae;Dolichospermum
Bacteria_Oxyphotobacteria_Nostocales_Nostocaceae_DolichospermumNIES41_AF247594	AF247594	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Nostocaceae;Dolichospermum
Bacteria_Oxyphotobacteria_Nostocales_Nostocaceae_IphinoeLOSB1_JQ435484	JQ435484	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Nostocaceae;Iphinoe
Bacteria_Oxyphotobacteria_Nostocales_Nostocaceae_MastigocladopsisPCC10914_KF037753	KF037753	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Nostocaceae;Mastigocladopsis
Bacteria_Oxyphotobacteria_Nostocales_Nostocaceae_MastigocoleusBC008_FJ202537	FJ202537	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Nostocaceae;Mastigocoleus
Bacteria_Oxyphotobacteria_Nostocales_Nostocaceae_MicrochaetePCC7126_HQ847569	HQ847569	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Nostocaceae;Tolypothrix
